Timestamp,PID,CPU_Usage(%),Memory_Usage(%),ElapsedTime
2025-05-22 00:24:15,71449,0.0,0.1,10:47:47
2025-05-22 00:24:15,4326,0.1,0.1,09:16:19
2025-05-22 00:24:16,71449,0.0,0.1,10:47:48
2025-05-22 00:24:16,4326,0.2,0.1,09:16:20
2025-05-22 00:24:17,71449,0.0,0.1,10:47:49
2025-05-22 00:24:17,4326,0.0,0.1,09:16:21
2025-05-22 00:24:18,71449,0.0,0.1,10:47:50
2025-05-22 00:24:18,4326,0.0,0.1,09:16:22
2025-05-22 00:24:19,71449,0.0,0.1,10:47:51
2025-05-22 00:24:19,4326,0.0,0.1,09:16:23
2025-05-22 00:24:20,71449,0.0,0.1,10:47:52
2025-05-22 00:24:20,4326,0.1,0.1,09:16:24
2025-05-22 00:24:21,71449,0.0,0.1,10:47:53
2025-05-22 00:24:21,4326,0.0,0.1,09:16:25
2025-05-22 00:24:22,71449,0.0,0.1,10:47:54
2025-05-22 00:24:22,4326,0.4,0.1,09:16:26
2025-05-22 00:24:23,71449,0.0,0.1,10:47:55
2025-05-22 00:24:23,4326,0.2,0.1,09:16:27
2025-05-22 00:24:24,71449,0.0,0.1,10:47:56
2025-05-22 00:24:24,4326,0.1,0.1,09:16:28
2025-05-22 00:24:25,71449,0.0,0.1,10:47:57
2025-05-22 00:24:25,4326,0.3,0.1,09:16:29
2025-05-22 00:24:26,71449,0.0,0.1,10:47:58
2025-05-22 00:24:26,4326,0.6,0.1,09:16:30
2025-05-22 00:24:27,71449,0.0,0.1,10:47:59
2025-05-22 00:24:27,4326,0.4,0.1,09:16:31
2025-05-22 00:24:28,71449,0.0,0.1,10:48:00
2025-05-22 00:24:28,4326,0.4,0.1,09:16:32
2025-05-22 00:24:29,71449,0.0,0.1,10:48:01
2025-05-22 00:24:29,4326,0.4,0.1,09:16:33
2025-05-22 00:24:30,71449,0.0,0.1,10:48:02
2025-05-22 00:24:30,4326,0.4,0.1,09:16:34
2025-05-22 00:24:31,71449,0.0,0.1,10:48:03
2025-05-22 00:24:31,4326,0.7,0.1,09:16:35
2025-05-22 00:24:32,71449,0.0,0.1,10:48:04
2025-05-22 00:24:32,4326,0.6,0.1,09:16:36
2025-05-22 00:24:33,71449,0.0,0.1,10:48:05
2025-05-22 00:24:33,4326,0.7,0.1,09:16:37
2025-05-22 00:24:34,71449,0.0,0.1,10:48:06
2025-05-22 00:24:34,4326,0.7,0.1,09:16:38
2025-05-22 00:24:35,71449,0.0,0.1,10:48:07
2025-05-22 00:24:35,4326,0.3,0.1,09:16:39
2025-05-22 00:24:36,71449,0.0,0.1,10:48:08
2025-05-22 00:24:36,4326,0.3,0.1,09:16:40
2025-05-22 00:24:37,71449,0.0,0.1,10:48:09
2025-05-22 00:24:37,4326,0.3,0.1,09:16:41
2025-05-22 00:24:38,71449,0.0,0.1,10:48:10
2025-05-22 00:24:38,4326,0.2,0.1,09:16:42
2025-05-22 00:24:39,71449,0.0,0.1,10:48:11
2025-05-22 00:24:39,4326,0.2,0.1,09:16:43
2025-05-22 00:24:40,71449,0.0,0.1,10:48:12
2025-05-22 00:24:40,4326,0.2,0.1,09:16:44
2025-05-22 00:24:41,71449,0.0,0.1,10:48:13
2025-05-22 00:24:41,4326,0.1,0.1,09:16:45
2025-05-22 00:24:43,71449,0.0,0.1,10:48:15
2025-05-22 00:24:43,4326,0.2,0.1,09:16:47
2025-05-22 00:24:44,71449,0.0,0.1,10:48:16
2025-05-22 00:24:44,4326,0.1,0.1,09:16:48
2025-05-22 00:24:45,71449,0.0,0.1,10:48:17
2025-05-22 00:24:45,4326,0.2,0.1,09:16:49
